n_escenario,tipo_arbol,tiempo_promedio,N,M
Escenario 1,ABB,173.28918,100000,10000000
Escenario 1,SplayTree,908.71559,100000,10000000
Escenario 2,ABB,11.53777,100000,10000000
Escenario 2,SplayTree,68.26049,100000,10000000
Escenario 3,ABB,173.77984,100000,10000000
Escenario 3,SplayTree,1025.79929,100000,10000000
Escenario 4,ABB,27.28208,100000,10000000
Escenario 4,SplayTree,53.72035,100000,10000000
Escenario 1,ABB,236.87269,200000,20000000
Escenario 1,SplayTree,1225.651735,200000,20000000
Escenario 2,ABB,12.489085,200000,20000000
Escenario 2,SplayTree,68.55747,200000,20000000
Escenario 3,ABB,274.67223,200000,20000000
Escenario 3,SplayTree,1189.312,200000,20000000
Escenario 4,ABB,19.223535,200000,20000000
Escenario 4,SplayTree,53.51745,200000,20000000
Escenario 1,ABB,244.99589666666665,300000,30000000
Escenario 1,SplayTree,927.3793733333333,300000,30000000
Escenario 2,ABB,10.40395,300000,30000000
Escenario 2,SplayTree,67.95882666666667,300000,30000000
Escenario 3,ABB,218.41082333333333,300000,30000000
Escenario 3,SplayTree,918.92222,300000,30000000
Escenario 4,ABB,21.534673333333334,300000,30000000
Escenario 4,SplayTree,37.753656666666664,300000,30000000
Escenario 1,ABB,205.5792875,400000,40000000
Escenario 1,SplayTree,863.7817375,400000,40000000
Escenario 2,ABB,10.0265625,400000,40000000
Escenario 2,SplayTree,76.2325875,400000,40000000
Escenario 3,ABB,203.0439775,400000,40000000
Escenario 3,SplayTree,870.528575,400000,40000000
Escenario 4,ABB,27.942295,400000,40000000
Escenario 4,SplayTree,40.013625,400000,40000000
Escenario 1,ABB,360.1128,500000,50000000
Escenario 1,SplayTree,2097.50986,500000,50000000
Escenario 2,ABB,11.813978,500000,50000000
Escenario 2,SplayTree,73.2029,500000,50000000
Escenario 3,ABB,346.58815,500000,50000000
Escenario 3,SplayTree,2173.569592,500000,50000000
Escenario 4,ABB,28.812346,500000,50000000
Escenario 4,SplayTree,65.637448,500000,50000000
Escenario 1,ABB,279.2055916666667,600000,60000000
Escenario 1,SplayTree,1166.1669016666667,600000,60000000
Escenario 2,ABB,10.750753333333334,600000,60000000
Escenario 2,SplayTree,69.19408,600000,60000000
Escenario 3,ABB,272.4474833333333,600000,60000000
Escenario 3,SplayTree,1174.8192466666667,600000,60000000
Escenario 4,ABB,21.909093333333335,600000,60000000
Escenario 4,SplayTree,37.366663333333335,600000,60000000
Escenario 1,ABB,280.2116342857143,700000,70000000
Escenario 1,SplayTree,1286.4101271428572,700000,70000000
Escenario 2,ABB,9.89605,700000,70000000
Escenario 2,SplayTree,69.98262571428572,700000,70000000
Escenario 3,ABB,286.8140771428571,700000,70000000
Escenario 3,SplayTree,1297.8300757142856,700000,70000000
Escenario 4,ABB,19.349955714285713,700000,70000000
Escenario 4,SplayTree,42.12435285714286,700000,70000000
Escenario 1,ABB,409.11511125,800000,80000000
Escenario 1,SplayTree,2477.13135,800000,80000000
Escenario 2,ABB,12.66751,800000,80000000
Escenario 2,SplayTree,82.51134125,800000,80000000
Escenario 3,ABB,409.63676625,800000,80000000
Escenario 3,SplayTree,2480.46165875,800000,80000000
Escenario 4,ABB,25.69002375,800000,80000000
Escenario 4,SplayTree,60.39111125,800000,80000000
Escenario 1,ABB,464.67682333333335,900000,90000000
Escenario 1,SplayTree,1808.0233822222222,900000,90000000
Escenario 2,ABB,13.648792222222223,900000,90000000
Escenario 2,SplayTree,86.22437666666667,900000,90000000
Escenario 3,ABB,419.2714688888889,900000,90000000
Escenario 3,SplayTree,1714.6605933333333,900000,90000000
Escenario 4,ABB,33.05285444444444,900000,90000000
Escenario 4,SplayTree,44.139225555555555,900000,90000000
Escenario 1,ABB,422.836117,1000000,100000000
Escenario 1,SplayTree,1742.02531,1000000,100000000
Escenario 2,ABB,13.363478,1000000,100000000
Escenario 2,SplayTree,87.77643,1000000,100000000
Escenario 3,ABB,438.47357,1000000,100000000
Escenario 3,SplayTree,1724.999513,1000000,100000000
Escenario 4,ABB,36.7182,1000000,100000000
Escenario 4,SplayTree,39.250673,1000000,100000000
